year,uk_source_event_key,sackmann_tourney_id,official_tournament_id,note
2017,,2017-M015,747,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M016,741,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M020,339,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M021,1536,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M024,422,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2017,,2017-M035,418,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M001,9663,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M004,807,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M006,404,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M007,403,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M009,416,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M010,440,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M014,438,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M015,747,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M016,741,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M020,339,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M021,1536,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M024,422,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2018,,2018-M035,418,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M001,9663,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M004,807,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M006,404,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M007,403,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M009,416,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M010,440,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M014,438,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M015,747,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M016,741,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M020,339,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M021,1536,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M024,422,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2019,,2019-M035,418,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2020,,2020-M004,807,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2020,,2020-M009,416,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
2020,,2020-M024,422,Cincinnati Masters relocated to New York in 2020 (COVID); code M024 consistently resolves to Cincinnati (422) in every other year
2020,,2020-M056,8998,"M0xx-era Sackmann id (non-permanent); resolved via location, stable across all other years using this code"
