WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Brisbane,Brisbane International,2024-01-01,WTA500,Outdoor,Hard,1st Round,3,Osaka N.,Korpatsch T.,,83.0,,847.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,1.29,3.75,1.3,3.79,1.35,3.79,1.31,3.42
2,Brisbane,Brisbane International,2024-01-01,WTA500,Outdoor,Hard,1st Round,3,Saville D.,Yastremska D.,209.0,98.0,366.0,767.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,3.0,1.4,2.81,1.48,3,1.49,2.79,1.43
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,1st Round,3,Noskova L.,Babos T.,40.0,192.0,1278.0,404.0,5.0,7.0,7.0,6.0,7.0,6.0,2.0,1.0,Completed,1.2,4.5,1.24,4.35,1.24,4.66,1.21,4.33
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,1st Round,3,Bronzetti L.,Krueger A.,52.0,78.0,1137.0,896.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,2.2,1.67,2.15,1.76,2.2,1.76,2.18,1.67
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,1st Round,3,Gadecki O.,Birrell K.,124.0,115.0,607.0,671.0,4.0,6.0,6.0,0.0,6.0,4.0,2.0,1.0,Completed,1.53,2.5,1.54,2.6,1.55,2.75,1.52,2.51
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,1st Round,3,Burel C.,Sonmez Z.,56.0,163.0,1081.0,478.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.33,3.4,1.39,3.18,1.39,3.4,1.36,3.17
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,1st Round,3,Riera J.,Tomova V.,137.0,75.0,563.0,906.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.53,2.58,1.55,2.6,1.6,2.47,1.54
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Baptiste H.,54.0,129.0,1090.0,583.0,6.0,1.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,1.25,4.0,1.28,3.98,1.29,4.0,1.26,3.82
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,2nd Round,3,Rodionova Ar.,Kenin S.,113.0,37.0,677.0,1334.0,7.0,5.0,7.0,6.0,,,2.0,0.0,Completed,3.75,1.29,3.97,1.28,4,1.33,3.68,1.28
2,Brisbane,Brisbane International,2024-01-02,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Kalinskaya A.,23.0,80.0,1916.0,887.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.91,1.91,2.03,1.85,2.03,2.0,1.93,1.87
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Schmiedlova A.,16.0,73.0,2720.0,918.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.2,4.5,1.2,5.03,1.21,5.16,1.19,4.58
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Saville D.,28.0,209.0,1611.0,366.0,6.0,4.0,3.0,6.0,6.0,4.0,2.0,1.0,Completed,1.5,2.63,1.58,2.49,1.58,2.63,1.53,2.49
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Osaka N.,39.0,,1287.0,,3.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,2.5,1.53,2.5,1.58,2.51,1.63,2.4,1.56
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Cirstea S.,40.0,26.0,1278.0,1800.0,6.0,4.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.8,2.0,1.83,2.05,1.83,2.05,1.79,2.0
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Bronzetti L.,2.0,52.0,9050.0,1137.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.05,11.0,1.05,14.42,1.05,14.42,1.04,11.27
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kostyuk M.,18.0,38.0,2715.0,1316.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.91,1.91,1.98,1.89,2,1.96,1.92,1.87
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Riera J.,Alexandrova E.,137.0,21.0,563.0,2075.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,4.33,1.22,4.02,1.27,5.16,1.27,4.1,1.23
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Giorgi C.,12.0,55.0,2830.0,1089.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.62,2.3,1.65,2.34,1.65,2.38,1.62,2.28
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Burel C.,Kalinina A.,56.0,27.0,1081.0,1630.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,2.0,1.8,2.04,1.84,2.04,1.95,1.96,1.84
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Samsonova L.,58.0,15.0,1060.0,2760.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.8,2.0,1.84,2.04,1.98,2.05,1.82,1.99
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Linette M.,Bucsa C.,22.0,61.0,1921.0,1023.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,2.0,1.8,2.01,1.86,2.1,1.89,1.99,1.8
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Mertens E.,Stephens S.,30.0,44.0,1506.0,1200.0,2.0,6.0,6.0,1.0,6.0,3.0,2.0,1.0,Completed,1.67,2.2,1.68,2.28,1.68,2.33,1.64,2.23
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Gadecki O.,4.0,124.0,6366.0,607.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.08,8.0,1.1,8.46,1.1,9.3,1.08,7.89
2,Brisbane,Brisbane International,2024-01-03,WTA500,Outdoor,Hard,2nd Round,3,Zhu L.,Collins D.,33.0,54.0,1420.0,1090.0,1.0,6.0,6.0,3.0,7.0,6.0,2.0,1.0,Completed,3.5,1.3,3.9,1.29,3.9,1.3,3.68,1.28
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Azarenka V.,Burel C.,23.0,56.0,1916.0,1081.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.75,1.43,3.03,1.49,3.04,1.44,2.77
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Noskova L.,Riera J.,40.0,137.0,1278.0,563.0,6.0,1.0,6.0,7.0,6.0,3.0,2.0,1.0,Completed,1.4,3.0,1.41,3.13,1.42,3.14,1.4,2.93
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Ostapenko J.,Pliskova Ka.,12.0,39.0,2830.0,1287.0,6.0,2.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,1.53,2.5,1.56,2.59,1.58,2.59,1.54,2.46
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Kasatkina D.,Linette M.,18.0,22.0,2715.0,1921.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.4,3.0,1.45,2.93,1.47,3.25,1.41,2.86
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Rodionova Ar.,58.0,113.0,1060.0,677.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.08,8.0,1.12,7.36,1.12,9.5,1.08,7.7
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Potapova A.,Kudermetova V.,28.0,16.0,1611.0,2720.0,7.0,5.0,6.0,7.0,6.0,4.0,2.0,1.0,Completed,3.0,1.4,3.11,1.41,3.11,1.46,2.91,1.4
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Mertens E.,4.0,30.0,6366.0,1506.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.29,3.75,1.3,3.87,1.3,4.0,1.27,3.72
2,Brisbane,Brisbane International,2024-01-04,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Zhu L.,2.0,33.0,9050.0,1420.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.05,11.0,1.05,13.83,1.06,14.01,1.04,10.54
2,Brisbane,Brisbane International,2024-01-05,WTA500,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Ostapenko J.,23.0,12.0,1916.0,2830.0,6.0,3.0,3.0,6.0,7.0,5.0,2.0,1.0,Completed,1.91,1.91,2.02,1.89,2.02,1.99,1.91,1.89
2,Brisbane,Brisbane International,2024-01-05,WTA500,Outdoor,Hard,Quarterfinals,3,Rybakina E.,Potapova A.,4.0,28.0,6366.0,1611.0,6.0,1.0,,,,,1.0,0.0,Retired,1.11,6.5,1.14,6.98,1.15,7.09,1.12,6.16
2,Brisbane,Brisbane International,2024-01-05,WTA500,Outdoor,Hard,Quarterfinals,3,Noskova L.,Andreeva M.,40.0,58.0,1278.0,1060.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,4.0,1.25,4.24,1.27,4.65,1.27,4.02,1.24
2,Brisbane,Brisbane International,2024-01-05,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Kasatkina D.,2.0,18.0,9050.0,2715.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.11,6.5,1.14,6.8,1.14,8.5,1.12,6.38
2,Brisbane,Brisbane International,2024-01-06,WTA500,Outdoor,Hard,Semifinals,3,Rybakina E.,Noskova L.,4.0,40.0,6366.0,1278.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.14,5.5,1.2,5.31,1.2,5.58,1.17,5.01
2,Brisbane,Brisbane International,2024-01-06,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Azarenka V.,2.0,23.0,9050.0,1916.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.13,6.0,1.17,5.96,1.18,6.19,1.15,5.5
2,Brisbane,Brisbane International,2024-01-07,WTA500,Outdoor,Hard,The Final,3,Rybakina E.,Sabalenka A.,4.0,2.0,6366.0,9050.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.91,1.91,2.03,1.88,5,1.4,5.0,1.4
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Kalinina A.,41.0,28.0,1223.0,1630.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.67,2.2,1.69,2.26,1.7,2.27,1.66,2.2
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Haddad Maia B.,59.0,11.0,1046.0,2920.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.2,1.67,2.28,1.68,2.34,1.71,2.2,1.66
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Paolini J.,61.0,30.0,1035.0,1530.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,3.4,1.33,3.43,1.35,3.45,1.4,3.26,1.33
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Krejcikova B.,75.0,10.0,918.0,2945.0,7.0,5.0,3.0,6.0,7.0,5.0,2.0,1.0,Completed,2.0,1.8,2.09,1.8,2.25,1.8,2.08,1.75
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Bogdan A.,Boulter K.,66.0,57.0,956.0,1085.0,,3.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.53,3.46,1.33,4.4,1.53,3.35,1.37
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Pera B.,Badosa P.,69.0,74.0,943.0,922.0,3.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,2.63,1.5,3.29,1.37,3.29,1.52,2.85,1.42
3,Adelaide,Adelaide International,2024-01-08,WTA500,Outdoor,Hard,1st Round,3,Siegemund L.,Samsonova L.,89.0,14.0,814.0,2760.0,6.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,4.33,1.22,3.93,1.28,4.34,1.3,3.85,1.26
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Cirstea S.,12.0,26.0,2883.0,1746.0,2.0,6.0,6.0,2.0,6.0,4.0,2.0,1.0,Completed,1.5,2.63,1.56,2.56,1.57,2.63,1.53,2.48
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Garcia C.,Preston T.,20.0,203.0,2330.0,382.0,6.0,4.0,1.0,6.0,6.0,3.0,2.0,1.0,Completed,1.14,5.5,1.16,5.71,1.18,5.92,1.15,5.38
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Krueger A.,16.0,78.0,2680.0,896.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.3,3.5,1.33,3.53,1.33,3.59,1.31,3.44
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Pliskova Ka.,49.0,37.0,1150.0,1346.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,2.1,1.73,2.14,1.76,2.14,1.77,2.08,1.73
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Liu C.,15.0,104.0,2758.0,730.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.33,3.4,1.43,2.98,1.44,3.4,1.41,2.88
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Linette M.,21.0,24.0,2075.0,1896.0,3.0,6.0,7.0,6.0,7.0,5.0,2.0,1.0,Completed,1.62,2.3,1.67,2.45,1.67,2.45,1.61,2.3
3,Adelaide,Adelaide International,2024-01-09,WTA500,Outdoor,Hard,1st Round,3,Townsend T.,Sasnovich A.,80.0,83.0,870.0,831.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,2.2,1.67,2.2,1.71,2.22,1.71,2.21,1.68
3,Adelaide,Adelaide International,2024-01-10,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Pera B.,5.0,69.0,5905.0,943.0,4.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.08,8.0,1.11,7.77,1.13,8.0,1.1,6.87
3,Adelaide,Adelaide International,2024-01-10,WTA500,Outdoor,Hard,2nd Round,3,Siegemund L.,Bogdan A.,89.0,66.0,814.0,956.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,2.1,1.73,2.01,1.88,2.15,1.88,2.02,1.78
3,Adelaide,Adelaide International,2024-01-10,WTA500,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Siniakova K.,59.0,49.0,1046.0,1150.0,2.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,1.73,2.1,1.79,2.12,1.87,2.12,1.79,2.01
3,Adelaide,Adelaide International,2024-01-10,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Townsend T.,41.0,80.0,1223.0,870.0,6.0,3.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.5,2.63,1.53,2.65,1.57,2.75,1.52,2.52
3,Adelaide,Adelaide International,2024-01-10,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Garcia C.,12.0,20.0,2883.0,2330.0,6.0,4.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.62,2.3,1.6,2.48,1.64,2.5,1.59,2.34
